Cabin in the Sky,Swing,Vernon Duke,184
Call Me,Bossa,Tony Hatch,185
Call Me Irresponsible,Swing,Jimmy VanHeusen,186
Can't Help Lovin' Dat Man,Swing,Jerome Kern,187
Can't We Be Friends,Swing,SwiftJames,188
Candy,Swing,DavidWhitneyKramer,189
Cantaloupe Island,Rock,Herbie Hancock,190
Captain Marvel,Samba,Chick Corea,191
Caravan,Latin,Duke Ellington,192
Celia,Swing,Bud Powell,193
Central Park West,Ballad,John Coltrane,194
Ceora,Bossa,Lee Morgan,195
Certain Smile, A,Swing,FainWebster,196
Change Partners,Swing,Irving Berlin,197
Charleston, The,Swing,James Johnson,198
Chase, The,Swing,Dexter Gordon,199
Chasin' The Trane,Swing,John Coltrane,200
Cheek To Cheek,Swing,Irving Berlin,201
Cheers,Swing,Howard McGhee,202
Cheese Cake,Swing,Dexter Gordon,203
Cheetah,Swing,Kenny Burrell,204
Chega De Saudade (No More Blues),Bossa,AntonioCarlos Jobim,205
Chelsea Bridge,Ballad,Billy Strayhorn,206
Cherokee,Swing,Ray Noble,207
Cheryl,Swing,Charlie Parker,208
Chicago,Swing,Fred Fisher,209
Chicken, The,Funk,PeeWee Ellis,210
Child Is Born, A,Waltz,Thad Jones,211
Chucho,Latin,Paquito D'Rivera,212
Close Enough For Love,Ballad,MandelWilliams,213
Close Your Eyes,Swing,Bernice Petkere,214
Come Back To Me,Swing,Alan Lerner, Burton Lane,215
Come Fly With Me,Swing,Jimmy VanHeusen,216
Come Rain Or Come Shine,Swing,Harold Arlen,217
Come Sunday,Ballad,Duke Ellington,218
Comes Love,Swing,Lew BrownSteptTobias,219
Comes Love,Swing,Lew Brown,220
Comrade Conrad,Swing,Bill Evans,221
Con Alma,Afro,Dizzy Gillespie,222
Conception,Swing,George Shearing,223
Conference Of The Birds,Even 8ths,Dave Holland,224
Confessin' (That I Love You),Swing,DaughertyNeibergReynolds,225
Confirmation,Swing,Charlie Parker,226
Contemplation,Waltz,McCoy Tyner,227
Continuum,Funk,Jaco Pastorius,228
Cool One, The,Swing,Benny Golson,229
Copenhagen,Swing,DavisMelrose,230
Coral,Ballad,Keith Jarrett,231
Corcovado,Bossa,AntonioCarlos Jobim,232
Cottage For Sale,Swing,Willard Robison,233
Cottontail,Swing,Duke Ellington,234
Could It Be You,Ballad,Cole Porter,235
Countdown,Swing,John Coltrane,236
Country,Even 8ths,Keith Jarrett,237
Cousin Mary,Swing,John Coltrane,238
Crazy He Calls Me,Ballad,Carl Sigman,239
Crazy Rhythm,Swing,WolfeKahnMeyer,240
Creole Love Call,Swing,Duke Ellington,241
Crepuscule With Nellie,Ballad,Thelonious Monk,242
Crisis,Swing,Freddie Hubbard,243
Criss Cross,Swing,Thelonious Monk,244
Crosscurrent,Swing,Lennie Tristano,245
Cry Me A River,Ballad,Arthur Hamilton,246
Crystal Silence,Ballad,Chick Corea,247
Cute,Swing,Neal Hefti,248
Cyclic Episode,Swing,Sam Rivers,249
Cynthia's In Love,Swing,OwensWhiteGish,250
Daahoud,Swing,Clifford Brown,251
Dance Of The Infidels,Swing,Bud Powell,252
Dancing In The Dark,Swing,Arthur Schwartz,253
Dancing On The Ceiling,Ballad,Richard Rodgers,254
Danny Boy,Swing,Traditional,255
Darn That Dream,Ballad,Jimmy VanHeusen,256
Dat Dere,Swing,Bobby Timmons,257
Day By Day,Swing,CahnStordahlWeston,258
Day Dream,Ballad,StrayhornEllington,259
Day Dreaming,Ballad,Jerome Kern,260
Day In, Day Out,Swing,Rube Bloom,261
Daybreak,Swing,AdamsonGrofe,262
Days And Nights Waiting,Even 8ths,Keith Jarrett,263
Days Of Wine And Roses,Swing,Henry Mancini,264
Dear Lord,Swing,John Coltrane,265
Dear Old Stockholm,Swing,Traditional,266
Dearly Beloved,Swing,Jerome Kern,267
Dedicated To You,Ballad,CahnChaplinZaret,268
Deed I Do,Swing,HirschRose,269
Deep Purple,Swing,Peter DeRose,270
Del Sasser,Swing,Sam Jones,271
Deluge,Swing,Wayne Shorter,272
Desafinado,Bossa,AntonioCarlos Jobim,273
Desafinado (Original),Bossa,AntonioCarlos Jobim,274
Detour Ahead,Ballad,Herb Ellis,275
Devil May Care,Swing,T.P. Kirk,276
Dewey Square,Swing,Charlie Parker,277
Dexterity,Swing,Charlie Parker,278
Diane,Swing,Rapeepollack,279
Dienda,Waltz,Kenny Kirkland,280
Dig,Swing,Miles Davis,281
Dinah,Swing,Harry Akst,282
Dindi,Bossa,AntonioCarlos Jobim,283
Diverse,Swing,Charlie Parker,284
Django,Swing,John Lewis,285
Do Nothin' Til You Hear From Me,Swing,Duke Ellington,286
Do You Know What It Means?,Swing,Louis Alter,287
Dolores,Swing,Wayne Shorter,288
Dolphin Dance,Swing,Herbie Hancock,289
Dolphin, The,Bossa,Luiz Eca,290
Don't Be That Way,Swing,Edgar Sampson,291
Don't Blame Me,Ballad,Jimmy McHugh,292
Don't Explain,Ballad,Billie Holiday,293
Don't Fence Me In,Swing,Cole Porter,294
Don't Get Around Much Anymore,Swing,Duke Ellington,295
Don't Go To Strangers,Ballad,KentMasonEvans,296
Don't Know Why,Ballad,Jesse Harris,297
Don't Misunderstand,Swing,Gordon Parks,298
Don't Take Your Love From Me,Ballad,Henry Nemo,299
Don't Worry 'Bout Me,Ballad,Rube Bloom,300
Donna Lee,Swing,Charlie Parker,301
Down By The Riverside,Swing,Traditional,302
Down In The Depths,Swing,Cole Porter,303
Doxy,Swing,Sonny Rollins,304
Dream,Swing,Johnny Mercer,305
Dream A Little Dream Of Me,Ballad,SchwendtAndreKahn,306
Dream Dancing,Swing,Cole Porter,307
Dreamsville,Ballad,Henry Mancini,308
Driftin',Swing,Herbie Hancock,309
Duke, The,Swing,Dave Brubeck,310
E.S.P.,Swing,Wayne Shorter,311
Early Autumn,Ballad,BurnsHerman,312
East Of The Sun,Swing,Brooks Bowman,313
Easy Living,Ballad,Ralph Rainger,314
Easy Street,Swing,Alan Jones,315
Easy To Love,Swing,Cole Porter,316
Ecaroh,Swing,Horace Silver,317
Eiderdown,Swing,Steve Swallow,318
Eighty One,Even 8ths,Ron Carter,319
El Cajon,Bossa,Johnny Mandel,320
El Gaucho,Bossa,Wayne Shorter,321
Elora,Swing,J.J. Johnson,322
Embraceable You,Ballad,George Gershwin,323
Emily,Waltz,Johnny Mandel,324
End Of A Love Affair, The,Ballad,Edward Redding,325
Epistrophy,Swing,Thelonious Monk, Kenny Clarke,326
Equinox,Swing,John Coltrane,327
Eronel,Swing,Thelonious Monk,328
Estate,Bossa,Bruno Martino,329
Eternal Triangle,Swing,Sonny Stitt,330
Ev'ry Time We Say Goodbye,Ballad,Cole Porter,331
Everybody's Song But My Own,Waltz,Kenny Wheeler,332
Everything Happens To Me,Ballad,Matt Dennis,333
Everything I Have Is Yours,Ballad,Burton Lane,334
Everything I Love,Swing,Cole Porter,335
Everything I've Got Belongs To You,Swing,RodgersHart,336
Evidence,Swing,Thelonious Monk,337
Exactly Like You,Swing,Jimmy McHugh,338
Eye of the Hurricane,Swing,Herbie Hancock,339
Fall,Ballad,Wayne Shorter,340
Falling Grace,Even 8ths,Steve Swallow,341
Falling In Love Again,Waltz,Frederick Hollander,342
Falling In Love With Love,Waltz,Richard Rodgers,343
Fantasy in D (or Ugetsu),Swing,Freddie Hubbard,344
Farmer's Trust,Waltz,Pat Metheny,345
Fascinating Rhythm,Swing,George Gershwin,346
Fascination,Waltz,FernandoDante Marchetti,347
Favela,Bossa,AntonioCarlos Jobim,348
Fee-Fi-Fo-Fum,Swing,Wayne Shorter,349
Feel Like Makin' Love,Rock,Eugene McDaniels,350
Feels So Good,Funk,Chuck Mangione,351
Fever,Swing,DavenportCooley,352
Fine And Dandy,Ballad,Kay Swift,353
Fine And Mellow,Swing,Billie Holiday,354
Fine Romance, A,Swing,Jerome Kern,355
Five Brothers,Swing,Gerry Mulligan,356
Flamingo,Ballad,Ted Grouya,357
Flintstones,Swing,Hoyt Curtain,358
Flower Is A Lovesome Thing, A,Ballad,Billy Strayhorn,359
Fly Me To The Moon,Swing,Bart Howard,360
Flying Home,Swing,GoodmanHampton,361
Foggy Day, A,Swing,George Gershwin,362
Folks Who Live On The Hill, The,Ballad,Jerome Kern,363
Fools Rush In,Swing,Rube Bloom,364
Footprints,Waltz,Wayne Shorter,365
For All We Know,Ballad,Fred Coots,366
For Heaven's Sake,Ballad,EdwardsMeyerBretton,367
For Jan,Waltz,Kenny Wheeler,368
For Once In My Life,Swing,Orlando Murden,369
For Sentimental Reasons,Swing,William Best,370
For You, For Me, For Evermore,Swing,George Gershwin,371
Forest Flower,Bossa,Charles Lloyd,372
Forever Sonny,Bossa,Jimmy Heath,373
Four,Swing,Miles Davis,374
Four Brothers,Swing,Jimmy Giuffre,375
Four In One,Swing,Thelonious Monk,376
Four On Six,Swing,Wes Montgomery,377
Freckle Face,Swing,Sammy Nestico,378
Freddie Freeloader,Swing,Miles Davis,379
Freight Train,Swing,Tommy Flanagan,380
Frenesi,Latin,Alberto Dominguez,381
Friday The 13th,Swing,Thelonious Monk,382
Frim Fram Sauce, The,Swing,Joe Richardel,383
From This Moment On,Swing,Cole Porter,384
Full House,Waltz,Wes Montgomery,385
Funk In Deep Freeze,Swing,Hank Mobley,386
Funkallero,Swing,Bill Evans,387
Gallop's Gallop,Swing,Thelonious Monk,388
Gary's Notebook,Waltz,Lee Morgan,389
Gee Baby, Ain't I Good To You,Swing,Don Redman,390
Gentle Rain, The,Bossa,Luiz Bonfa,391
Georgia On My Mind,Swing,Hoagy Carmichael,392
Get Happy,Swing,Harold Arlen,393
Get Me To The Church On Time,Swing,Alan Lerner,394
Get Out Of Town,Swing,Cole Porter,395
Ghost Of A Chance, A,Ballad,Victor Young,396
Giant Steps,Swing,John Coltrane,397
Girl From Ipanema, The,Bossa,AntonioCarlos Jobim,398
Girl Talk,Swing,Neal Hefti,399
Give Me The Simple Life,Swing,Rube Bloom,400
Glad To Be Unhappy,Swing,RodgersHart,401
Gloria's Step,Swing,Scott LaFaro,402
Glory Of Love, The,Ballad,Billy Hill,403
God Bless The Child,Ballad,HerzogHoliday,404
Godchild,Swing,George Wallington,405
Golden Earring,Swing,Jay Livingston,406
Gone With The Wind,Swing,Allie Wrubel,407
Good Bait,Swing,Tadd Dameron,408
Good Life, The,Ballad,Sacha Distel,409
Good Morning Heartache,Ballad,DrakeFisherHigginbotham,410
Goodbye,Ballad,Gordon Jenkins,411
Goodbye Pork Pie Hat,Ballad,Charles Mingus,412
Got A Match?,Swing,Chick Corea,413
Grand Central,Swing,John Coltrane,414
Gravy Waltz, The,Waltz,Ray Brown,415
Green Chimneys,Swing,Thelonious Monk,416
Gregory Is Here,Bossa,Horace Silver,417
Groovin' High,Swing,Dizzy Gillespie,418
Hackensack,Swing,Thelonious Monk,419
Half Nelson,Swing,Miles Davis,420
Hallelujah I Just Love Him So,Swing,Ray Charles,421
Hallucinations,Swing,Bud Powell,422
Happiness Is A Thing Called Joe,Swing,Harold Arlen,423
Happy Little Sunbeam,Swing,Russ Freeman,424
Haunted Heart,Ballad,Arthur Schwartz,425
Have You Met Miss Jones?,Swing,Richard Rodgers,426
He's A Tramp,Swing,LeeBurke,427
Heart And Soul,Swing,Hoagy Carmichael,428
Heatwave,Swing,Irving Berlin,429
Hello Dolly,Swing,Jerry Herman,430
Hello Young Lovers,Swing,Richard Rogers,431
Here's That Rainy Day,Ballad,Jimmy VanHeusen,432
Here's To Life,Ballad,Artie Butler,433
Heyoke,Waltz,Kenny Wheeler,434
High Fly,Swing,Randy Weston,435
High Hopes,Swing,Jimmy VanHeusen,436
Home At Last,Bossa,Hank Mobley,437
Home Cookin',Swing,Horace Silver,438
Homecoming,Swing,Dave Holland,439
Honeysuckle Rose,Swing,Fats Waller,440
Horace Scope,Swing,Horace Silver,441
Hot House,Swing,Tadd Dameron,442
House Of Jade,Swing,Wayne Shorter,443
How About You,Swing,Burton Lane,444
How Are Things In Glocca Morra,Ballad,Burton Lane,445
How Deep Is The Ocean,Swing,Irving Berlin,446
How High The Moon,Swing,Morgan Lewis,447
How Insensitive,Bossa,AntonioCarlos Jobim,448
How Little We Know,Swing,Hoagy Carmichael,449
How Long Has This Been Going On?,Ballad,George Gershwin,450
How My Heart Sings,Waltz,Earl Zindars,451
Humpty Dumpty,Swing,Chick Corea,452
Hungaria,Swing,Django Reinhardt,453
I Ain't Got Nobody,Swing,GrahamWilliams,454
I Believe In You,Swing,Frank Loesser,455
I Can't Believe...You're In Love...,Swing,Jimmy McHugh,456
I Can't Get Started,Ballad,Vernon Duke,457
I Can't Give You Anything But Love,Swing,Jimmy McHugh,458
I Concentrate On You,Swing,Cole Porter,459
I Could Have Danced All Night,Swing,Frederick Loewe,460
I Could Write A Book,Swing,Richard Rodgers,461
I Cover The Waterfront,Ballad,Johnny Green,462
I Cried For You,Ballad,FreedArnheimLyman,463
I Didn't Know About You,Ballad,Duke Ellington,464
I Didn't Know What Time It Was,Swing,Richard Rodgers,465
I Don't Know Enough About You,Swing,Peggy Lee,466
I Don't Want To Miss Mississippi,Swing,Serger Ellis,467
I Fall In Love Too Easily,Ballad,Jule Styne,468
I Found A New Baby,Swing,PalmerWilliams,469
I Get A Kick Out Of You,Swing,Cole Porter,470
I Get Along Without You,Ballad,Hoagy Carmichael,471
I Got It Bad,Ballad,Duke Ellington,472
I Got Rhythm,Swing,George Gershwin,473
I Got The Sun In The Morning,Swing,Irving Berlin,474
I Gotta Right To Sing The Blues,Ballad,Harold Arlen,475
I Guess I'll Hang My Tears Out To Dry,Ballad,Jule Styne,476
I Guess I'll Have To Change My Plan,Ballad,Arthur Schwartz,477
I Hadn't Anyone Till You,Swing,Ray Noble,478
I Have Dreamed,Swing,RodgersHammerstein,479
I Hear A Rhapsody,Swing,FragosBakerGasparre,480
I Hear Music,Swing,Burton Lane,481
I Left My Heart In San Francisco,Ballad,George Cory,482
I Let A Song Go Out Of My Heart,Swing,Duke Ellington,483
I Like The Likes Of You,Swing,Vernon Duke,484
I Love Being Here With You,Swing,Bill Schluger, Peggy Lee,485
I Love Paris,Swing,Cole Porter,486
I Love You,Swing,Cole Porter,487
I Loves You Porgy,Ballad,George Gershwin,488
I May Be Wrong,Swing,Henry Sullivan,489
I Mean You,Swing,Thelonious Monk,490
I Only Have Eyes For You,Ballad,Harry Warren,491
I Remember Clifford,Ballad,Benny Golson,492
I Remember You,Swing,Victor Schertzinger,493
I See Your Face Before Me,Ballad,Arthur Schwartz,494
I Should Care,Swing,CahnStordahlWeston,495
I Surrender Dear,Ballad,Harry Barris,496
I Think Of You,Swing,ElliotMarcotte,497
I Thought About You,Ballad,Jimmy VanHeusen,498
I Used To Be Color Blind,Swing,Irving Berlin,499
I Want To Be Happy,Swing,Vincent Youmans,500
I Want To Talk About You,Ballad,Billy Eckstine,501
I Was Doing All Right,Swing,George Gershwin,502
I Will Wait For You,Swing,Michel Legrand,503
I Wish I Knew,Ballad,Harry Warren,504
I Wish I Knew How It Would Feel To Be Free,Even 8ths,Billy Taylor,505
I Wish I Were In Love Again,Swing,Richard Rodgers,506
I Wish You Love,Swing,Charles Trenet,507
I Won't Dance,Swing,Jerome Kern,508
I'll Be Around,Ballad,Alec Wilder,509
I'll Be Seeing You,Swing,Sammy Fain,510
I'll Close My Eyes,Swing,ReidKaye,511
I'll Get By (As Long As I Have You),Swing,AhlertTurk,512
I'll Never Be The Same,Swing,KhanMalneckSignorelli,513
I'll Only Miss Her When I Think Of Her,Swing,CahnVanHeusen,514
I'll Remember April,Swing,RayeDePaul,515
I'll See You In My Dreams,Swing,JonesKahn,516
I'll Take Romance,Waltz,Ben Oakland,517
I'm A Fool To Want You,Ballad,HerronSinatraWolf,518
I'm All Smiles,Waltz,LeonardMartin,519
I'm Always Chasing Rainbows,Swing,Harry Carroll,520
I'm Beginning To See The Light,Swing,HodgesJamesEllington,521
I'm Confessin' That I Love You,Swing,ReynoldsDaugherty,522
I'm Getting Sentimental Over You,Swing,George Bassman,523
I'm Glad There Is You,Ballad,Jimmy Dorsey,524
I'm Gonna Sit Right Down and Write Myself A Letter,Swing,Fred Ahlert,525
I'm In The Mood For Love,Swing,Jimmy McHugh,526
I'm Just A Lucky So-And-So,Swing,Duke Ellington,527
I'm Old Fashioned,Swing,Jerome Kern,528
I'm Putting All My Eggs In One Basket,Swing,Irving Berlin,529
I'm Sitting On Top Of The World,Swing,LouisHendersonYoung,530
I'm Through With Love,Ballad,KahnMalneckLivingston,531
I've Found A New Baby,Swing,PalmerWilliams,532
I've Got A Crush On You,Ballad,George Gershwin,533
I've Got My Love To Keep Me Warm,Swing,Irving Berlin,534
I've Got The World On A String,Swing,Harold Arlen,535
I've Got You Under My Skin,Swing,Cole Porter,536
I've Grown Accustomed To Her Face,Ballad,Frederick Loewe,537
I've Heard That Song Before,Swing,Jule Styne,538
I've Never Been in Love Before,Swing,Frank Loesser,539
I've Told Eve'ry Little Star,Swing,Jerome Kern,540
Idle Moments,Swing,Grant Green,541
If Ever I Would Leave You,Swing,Frederick Loewe,542
If I Could Be With You,Ballad,James Johnson,543
If I Didn't Care,Swing,Jack Lawrence,544
If I Had You,Swing,CampbellConnellyShapiro,545
If I Loved You,Ballad,Richard Rodgers,546
If I Ruled The World,Ballad,Leslie Bricusse,547
If I Should Lose You,Swing,Ralph Rainger,548
If I Were A Bell,Swing,Frank Loesser,549
If There Is Someone Lovelier,Ballad,DietzSchwartz,550
If You Could See Me Now,Ballad,Tadd Dameron,551
If You Ever Should Leave,Swing,CahnChaplin,552
If You Never Come To Me,Bossa,AntonioCarlos Jobim,553
Ill Wind,Ballad,Harold Arlen,554
Imagination,Ballad,Jimmy VanHeusen,555
Impressions,Swing,John Coltrane,556
In A Little Spanish Town,Swing,WayneLewisYoung,557
In A Mellow Tone (In A Mellotone),Swing,Duke Ellington,558
In A Shanty In Old Shanty Town,Waltz,LittleSiras,559
In Her Family,Even 8ths,Pat Metheny,560
In Love In Vain,Swing,Leo Robin Jerome Kern,561
In Pursuit Of The 27th Man,Latin,Horace Silver,562
In The Cool, Cool, Cool Of The Evening,Swing,Hoagy Carmichael,563
In The Middle Of A Kiss,Swing,Sam Coslow,564
In The Still Of The Night,Swing,Cole Porter,565
In The Wee Small Hours Of The Morning,Ballad,MannHilliard,566
In Walked Bud,Swing,Thelonious Monk,567
In Your Own Sweet Way,Swing,Dave Brubeck,568
In a Sentimental Mood,Ballad,Duke Ellington,569
Indian Summer,Swing,VictorAldubinHerbert,570
Indiana (Back Home Again In),Swing,James Hanley,571
Infant Eyes,Ballad,Wayne Shorter,572
Inner Urge,Swing,Joe Henderson,573
Interplay,Swing,Bill Evans,574
Invitation,Even 8ths,Bronislau Kaper,575
Iris,Waltz,Wayne Shorter,576
Irresistable You,Swing,Gene DePaul,577
Is You Is Or Is You Ain't (Ma' Baby),Swing,AustinJordan,578
Isfahan,Swing,StrayhornEllington,579
Isn't It A Lovely Day (To Be Caught In The Rain),Swing,Irving Berlin,580
Isn't It A Pity,Ballad,George Gershwin,581
Isn't It Romantic?,Swing,Richard Rodgers,582
Isotope,Swing,Joe Henderson,583
Israel,Swing,John Carisi,584
It Ain't Necessarily So,Swing,George Gershwin,585
